Speaker Name,イン点,アウト点,文字起こし,色選択
ライラ,00:08:31:00,00:08:32:00,え、取りたい,Rose
石川,00:08:32:00,00:08:33:00,ローズマリーですね,Violet
ライラ,00:08:34:00,00:08:36:00,うちの庭にある,Rose
石川,00:08:35:00,00:09:03:00,アロエもあるし だいたいこういうところ乾燥に強いやつが選ばれるので なんとなくちょっとトロピカルな地中海風になるんですよね オリーブの木もあるしね こういうのはオーストラリアから来たやつですね だいたいね あとこれ面白い これ水勾配がないんですね ここね 水勾配って何ですか,Violet
ライラ,00:09:02:00,00:09:03:00,水勾配って何ですか?,Rose
石川,00:09:03:00,00:09:30:00,外だと雨が降ると排水しなきゃいけないから 道路なんか斜めになってるじゃないですか地面が あれは水を流すためなんですけど ここはこの板が二重になってて 下は勾配がついてるんだけど その上にこれが浮いてて それで水平になってるから ああいう建物のところ斜めにならない ずっと床のままこっちに来てるんですよね この隙間から雨水が下に入るんですよ,Violet
ライラ,00:09:30:00,00:09:34:00,確かに外を歩いてる時,Rose
石川,00:09:32:00,00:09:33:00,真っ直ぐですよね,Violet
ライラ,00:09:35:00,00:09:38:00,すっごい急に斜めな歩道とかがあって,Rose
石川,00:09:37:00,00:09:40:00,ところがありますよね こっち車椅子なんで,Violet
ライラ,00:09:39:00,00:09:43:00,車椅子なんで 余計に分かりますよね 体幹トレーニングみたいな,Rose
石川,00:09:41:00,00:09:42:00,そういう,Violet
ライラ,00:09:44:00,00:09:46:00,左に寄ってたら右に寄るみたいな,Rose
石川,00:09:44:00,00:09:51:00,左に寄ってたら右に寄るみたいな そういう意味では ここはすごい全部フラットに作ってありますね,Violet
ライラ,00:09:52:00,00:10:05:00,結構東急さんも私たちもここに入る時に 色々インテリアとか考えてた時に すごいそこはすごい考えてましたね そうですか 結構子連れの方も多いので,Rose
石川,00:10:05:00,00:10:06:00,なるほど,Violet
ライラ,00:10:06:00,00:10:14:00,なるほど そこも多分視野に入れてるんだろうな 家族で来るっていうことを結構視野に入れてたみたいで,Rose
石川,00:10:11:00,00:10:16:00,はいはいはい 歩きやすいというか動き回りやすいというかね,Violet
ライラ,00:10:17:00,00:10:20:00,子供も走っても大丈夫みたいな,Rose
石川,00:10:17:00,00:10:27:00,走っても多くの人が来るので いろいろ最先端 いろいろ最先端ですね,Violet
石川,00:10:33:00,00:10:41:00,極めて人工的に維持されている環境ですね 最新のテクノロジーで,Violet
ライラ,00:10:45:00,00:10:48:00,石川さんが気づいてない私の知恵ってあるかなって,Rose
石川,00:10:47:00,00:10:54:00,土が白い人工軽量土壌ですね,Violet
石川,00:10:58:00,00:11:02:00,土って重いんで特に水やるとめっちゃ重くなるから,Violet
ライラ,00:11:03:00,00:11:06:00,お、膨張しちゃいますよねきっと,Rose
石川,00:11:04:00,00:11:21:00,膨張するというか水含むと重くなるんですよね 平米1トンとか余裕でなっちゃうので 建物の構造が大変だから なるべく軽くしたいので 人工軽量土壌という軽い土を使うんですよ,Violet
ライラ,00:11:25:00,00:11:29:00,やっぱランドスケープはそうやって重さとか考えるんですね,Rose
石川,00:11:30:00,00:11:52:00,建物と建築とコラボするときはやりますね 普通に地面に売るときは全然気にしなくてもいいんですけど やっぱりこういうところは 植物が地面に生えているような木に なんないといけないので 建築とのコラボがそういう時に発生するんですよね,Violet
石川,00:12:04:00,00:12:06:00,いいですね 雪残ってるすごい,Violet
ライラ,00:12:07:00,00:12:12:00,なんかでもそれもこの形もいい なんか,Rose
石川,00:12:07:00,00:12:11:00,雪残ってる すごい,Violet
ライラ,00:12:13:00,00:12:20:00,自然にできた形 私たちも結構渋谷フォントでこういう何気なくできた形とかを,Rose
石川,00:12:20:00,00:12:22:00,わかりますわかりますそうですよね,Violet
ライラ,00:12:21:00,00:12:28:00,デザインに取り入れてて 有機的な こういうの見ると私つい写真撮っちゃう,Rose
石川,00:12:28:00,00:12:31:00,そうですか趣味が合いますね,Violet
ライラ,00:12:31:00,00:12:35:00,こういう形がいいかもみたいな,Rose
石川,00:12:33:00,00:12:40:00,これなんかうっかりできてるというか あまりわざとらしくないというか,Violet
ライラ,00:12:40:00,00:12:43:00,そうなんですよね、わざとらしくないって結構大事です,Rose
石川,00:12:40:00,00:12:41:00,そうなんですよね,Violet
ライラ,00:12:43:00,00:12:46:00,そうですよね、ローズマリーに話されてるんですよ,Rose
石川,00:12:46:00,00:12:49:00,こっちからもちょっと覗けるんです そうなんですか,Violet
ライラ,00:12:49:00,00:12:54:00,ここから時々興味持ってくださるお客さんいると,Rose
石川,00:12:50:00,00:12:51:00,ここから時々,Violet
ライラ,00:12:55:00,00:12:58:00,入ってくださいよって、こう言ってて,Rose
石川,00:12:57:00,00:12:58:00,呼ぶんですか,Violet
ライラ,00:12:58:00,00:12:59:00,昨日も,Rose
石川,00:12:58:00,00:12:59:00,マジですか,Violet
ライラ,00:13:00:00,00:13:06:00,ここからちょっと渋谷フォント見れるんですけど なんだろうこの場所みたいな,Rose
石川,00:13:09:00,00:13:11:00,本当だ ん,Violet
ライラ,00:13:13:00,00:13:27:00,ああいうのも多分私あの 入れ組んでるワイヤーとか 拡大して撮っちゃうかも いいパターンだなぁみたいな あそこのワイヤーとかの入れ組んでる感じを,Rose
ライラ,00:13:33:00,00:13:42:00,わかんないですけど、私はどうやって、今多分、市場5回ぐらいにトラクターっていうんですかね。,Rose
石川,00:13:42:00,00:13:43:00,はい,Violet
ライラ,00:13:43:00,00:13:47:00,ショベルカーがあるけど、あのショベルカーどうやってあげたんだろうって思って。,Rose
石川,00:13:48:00,00:13:53:00,多分でかいクレーンですね でかいクレーンであげたと思います,Violet
ライラ,00:14:00:00,00:14:03:00,いつまでも終わらない渋谷の開発ですね,Rose
石川,00:14:00:00,00:14:08:00,でも終わらないし あそこは屋上が あそこはあそこがあるんですか?,Violet
ライラ,00:14:07:00,00:14:12:00,あそことここのスクリーンが対話して連携してるっていう話で,Rose
ライラ,00:14:19:00,00:14:20:00,いいね,Rose
石川,00:14:26:00,00:14:27:00,面白い,Violet
ライラ,00:14:32:00,00:14:34:00,ここもローズマリーがね,Rose
石川,00:14:32:00,00:14:35:00,お子どものおつもりだね 話が入ってますね,Violet
ライラ,00:14:36:00,00:14:37:00,切りたいな,Rose
石川,00:14:37:00,00:14:38:00,ローズマリ話が入ってますね,Violet
石川,00:14:47:00,00:14:48:00,すみませんありがとうございます,Violet
ライラ,00:14:50:00,00:14:52:00,こっちが渋谷フォントラボですね,Rose
石川,00:14:53:00,00:14:54:00,本当だ,Violet
石川,00:14:59:00,00:15:00:00,こちらゼロキロって書いてある,Violet
ライラ,00:15:00:00,00:15:02:00,それ私のデザインですね,Rose
石川,00:15:02:00,00:15:03:00,素晴らしい,Violet
ライラ,00:15:03:00,00:15:06:00,ちょっとくすっと笑えるかなと思って,Rose
石川,00:15:03:00,00:15:04:00,いいですね,Violet
ライラ,00:15:06:00,00:15:08:00,誰も気づいてくれなかったですからさんが初めて,Rose
石川,00:15:07:00,00:15:11:00,そうなんですか おかしいじゃないですか 相当面白いじゃないですか,Violet
ライラ,00:15:15:00,00:15:21:00,こちら結構 全部見渡せますしちょっとこっちにあ,Rose
石川,00:15:18:00,00:15:21:00,本当だ いいオフィスだな,Violet
ライラ,00:15:23:00,00:15:29:00,あとであの施設の方々が多分実演販売で来るんでこっち側が,Rose
石川,00:15:29:00,00:15:32:00,へー,Violet
ライラ,00:15:47:00,00:16:31:00,渋谷フォントは渋谷土産プロジェクトとして 始まった取り組み 渋谷らしいお土産を作ろう 渋谷区が提案して いろいろ地域の学生たちとアイデアを考えていたときに 皆さんが障害福祉施設で書いている文字が特徴的だから それをデータにしていろんなものに展開するといいんじゃないかと いうので始まったのがきっかけです そういう委託プロジェクトとして始まって 4年前に一般社団法人化して,Rose
