"Speaker Name","Start Time","End Time","Text"
"D1","00:00:08:09","00:00:14:22","がある。"
"D1","00:00:15:00","00:00:18:18","という声もありまして。"
"D1","00:00:18:20","00:00:35:10","量の取りようがないというか、こういう感じで。"
"D1","00:00:35:12","00:01:00:05","そうしますと、5万円ぐらいにして。"
"D1","00:01:00:07","00:01:10:08","3。"
"D1","00:01:10:10","00:01:14:10","10。"
"D1","00:01:14:12","00:01:19:10","8話という感じで。"
"D1","00:01:19:12","00:01:26:10","あんまりこう話かける。"
"D1","00:01:26:12","00:01:32:05","年数も。"
"D1","00:01:32:07","00:01:38:01","それはそれの中でも、もう少し。"
"D1","00:01:38:03","00:01:49:18","かってところにも話が。"
"D1","00:01:49:20","00:02:17:03","本当にそうです。"
"D1","00:02:17:05","00:02:25:20","かと思いますけどね。ぐらいありますが。"
"D1","00:02:25:22","00:02:32:23","本当に。"
"D1","00:02:33:01","00:02:37:03","ですね。"
"D1","00:02:37:05","00:02:45:13","右側に座ってらっしゃるので右上に。"
"D1","00:02:45:15","00:02:57:18","ここで。"
"D1","00:02:57:20","00:03:14:05","そういう感じ。"
"D1","00:03:14:07","00:03:21:17","で。だけれども、感情というもの。"
"吉田1","00:03:21:19","00:03:24:18","は。"
"D1","00:03:24:19","00:03:27:23","ですね。"
"山田1","00:03:28:01","00:03:30:23","そもそも語れないので。"
"D1","00:03:31:01","00:03:43:00","その辺のは一方で。"
"山田1","00:03:43:02","00:03:48:06","すみません、恐縮ですが。"
"吉田1","00:03:48:07","00:03:49:04","面白かったです。"
"山田1","00:03:49:06","00:03:56:18","ありがとうございますのが、音声。"
"D1","00:03:56:20","00:04:03:16","はもちろん。"
"山田1","00:04:03:18","00:04:06:16","音声が。"
"吉田1","00:04:06:18","00:04:10:15","両方使えるなら。"
"山田1","00:04:10:17","00:04:58:02","です。"
"D1","00:04:58:04","00:05:01:05","はいはい。"
"吉田1","00:05:01:06","00:05:09:16","とか。"
"吉田1","00:05:09:18","00:05:16:00","いつも思うんですけど。でも大きいんですよね。東京と比べて。"
"山田1","00:05:16:02","00:05:16:22","大きいんですかね？"
"吉田1","00:05:16:22","00:05:34:02","横そうですね。というサイズ感が東京よりも一つ大きいという感じでも、すごい個性の感じが多くて感じるんですよ。"
"山田1","00:05:34:04","00:05:39:09","その感じ。"
"吉田1","00:05:39:11","00:05:42:23","の。"
"吉田1","00:05:43:01","00:05:49:18","あのビルってすごく立派じゃないですか。"
"吉田1","00:05:49:19","00:05:56:19","たまにビルもありますね。大阪の。"
"吉田1","00:05:56:21","00:06:07:23","方で。かこうアナーキーな感じがするなって。いつも。"
"山田1","00:06:08:00","00:06:14:14","はおとなしいっていうか、そういったエリア。"
"吉田1","00:06:14:16","00:06:23:01","ですが。やっぱ。ちょっとアジアっぽい。"
"山田1","00:06:23:03","00:06:27:23","感じ。"
"山田1","00:06:28:01","00:06:31:21","ちょっとだな。"
"山田1","00:06:31:23","00:06:35:09","と思って。"
"山田1","00:06:35:11","00:06:40:09","いる大学。"
"吉田1","00:06:40:11","00:06:44:11","の表情が全然違う。"
"山田1","00:06:44:13","00:07:00:09","悪い地域かなと思ってて。下の方の方ははい、全然違うところで、お互い。"
"山田1","00:07:00:11","00:07:06:05","大阪の中でも。"
"吉田1","00:07:06:07","00:07:17:19","この学生に中心街に住んでいる。そこに住みたいと話し。"
