"Speaker Name","Start Time","End Time","Text"
"藤井2","00;00;02;58","00;00;07;46","特にね。すごい。"
"相馬2","00;00;07;51","00;00;09;52","味になる。"
"藤井2","00;00;09;57","00;00;13;35","味になりますね。"
"相馬2","00;00;13;39","00;00;18;40","あるんですよ。"
"藤井2","00;00;18;45","00;00;25;57","バイクに乗る。それを。"
"藤井2","00;00;26;02","00;00;29;10","面白いですね。"
"相馬2","00;00;29;15","00;00;35;27","楽しみにしてくれ。"
"相馬2","00;00;35;32","00;00;47;16","高齢になる。"
"相馬2","00;00;47;21","00;00;57;52","いやもうここ数年以内に帰ってください。そうじゃないといいですよって。"
"話者 3","00;00;57;57","00;00;59;54","ね。"
"藤井2","00;00;59;58","00;01;01;12","この頃。"
"相馬2","00;01;01;17","00;01;02;20","ショックを受けて。"
"話者 3","00;01;02;20","00;01;03;20","ね。"
"藤井2","00;01;03;25","00;01;05;55","どこにこう見ある？"
"相馬2","00;01;06;06","00;01;09;54","すごい身体。"
"藤井2","00;01;09;59","00;01;12;34","なるほどね。"
"藤井2","00;01;12;39","00;01;13;36","早く子。"
"相馬2","00;01;13;47","00;01;28;59","ね。よくないといけない。こうって。"
"藤井2","00;01;29;04","00;01;36;31","いいですか。"
"相馬2","00;01;36;36","00;01;46;12","ね。それじゃあこれだろねっていうのが。"
"相馬2","00;01;46;16","00;01;49;10","いいな。"
"藤井2","00;01;49;14","00;01;56;08","ロックっていうのは激しいと。この役は。"
"藤井2","00;01;56;13","00;02;02;01","そうだ。そういうスタイルがやっぱりね。彼の影響により何か難しくなっ。"
"相馬2","00;02;02;12","00;02;03;58","てするんですかね。"
"藤井2","00;02;04;03","00;02;32;15","それは難しい質問であってね。ああいうロックのステージを何時間もやるってなると悲しそうなんで、やっぱりいろんな面があると直結もします。が、でも例えばこれは重量時のキーと戦う時のキーが全然別。"
"相馬2","00;02;32;20","00;02;38;12","とかすごいな体っていうのも違うんです。"
"藤井2","00;02;38;17","00;02;40;42","だから。"
"藤井2","00;02;40;46","00;02;56;14","それと並んでやっぱりでかい体があると思いますし、あるんで。"
"藤井2","00;02;56;19","00;02;59;32","ファースト。"
"相馬2","00;02;59;36","00;03;02;58","キッチン。"
"藤井2","00;03;03;02","00;03;18;10","的にはどうですかね。女性ドラマもすごいな。"
"相馬2","00;03;18;15","00;03;26;11","これは。"
"相馬2","00;03;26;16","00;03;32;38","ですかね。この人ね、番組のここで。"
"相馬2","00;03;32;43","00;03;42;32","期待。"
"藤井2","00;03;42;37","00;03;48;22","ですか。カード。"
"相馬2","00;03;48;27","00;03;55;30","プラスの声が出ます。こう。"
"藤井2","00;03;55;35","00;03;56;57","なると。"
"相馬2","00;03;57;02","00;03;59;01","多分すると思い。"
"藤井2","00;03;59;01","00;04;00;59","ます。私の。"
"相馬2","00;04;01;03","00;04;05;30","これ繰り返してる感じは。"
"藤井2","00;04;05;35","00;04;07;33","呼んでるんですか？"
"相馬2","00;04;07;38","00;04;09;41","すごいじゃないですか。"
"藤井2","00;04;09;46","00;04;10;47","そういうこと。"
"相馬2","00;04;10;52","00;04;15;17","もう。"
"藤井2","00;04;15;22","00;04;19;32","これはサイズ。"
"相馬2","00;04;19;37","00;04;32;40","がある。"
"相馬2","00;04;32;45","00;04;37;10","から問題ないですよね。"
"相馬2","00;04;37;14","00;04;51;11","人気があるんですけど。"
"藤井2","00;04;51;16","00;04;59;53","これ何なんですかね。"
"藤井2","00;04;59;58","00;05;20;28","何か。"
"D2","00;05;20;33","00;05;33;15","が番から。あの。"
"D2","00;05;33;19","00;05;39;40","歌と音楽。"
"D2","00;05;39;45","00;05;48;06","ので。なので。"
"D2","00;05;48;11","00;05;54;08","それ。が。"
"D2","00;05;54;13","00;06;02;53","なかったですから。"
"藤井2","00;06;02;58","00;06;10;59","完全。"
"藤井2","00;06;11;04","00;06;17;46","と言ってカウントするんです。"
"藤井2","00;06;17;51","00;06;21;10","地名を聞いてなかったぐらい。"
"相馬2","00;06;21;11","00;06;30;04","こうでないと思いますね。それからだよと。"
"相馬2","00;06;30;09","00;06;38;53","っていうのはですはその歌を聞くと、復活するっていうのは入れていて。"
