"Speaker Name","Start Time","End Time","Text"
"話者 1","00;01;03;12","00;01;11;27","今月1。"
"話者 1","00;01;11;32","00;01;24;51","11。"
"相馬1","00;01;24;56","00;01;34;21","の厚生大臣。"
"相馬1","00;01;34;26","00;01;45;00","主催。で。どうですか。"
"相馬1","00;01;45;04","00;01;52;33","そうなんですよ。すいません。"
"相馬1","00;01;52;38","00;02;02;32","多分。"
"相馬1","00;02;02;37","00;02;08;53","あれ。から。"
"相馬1","00;02;08;58","00;02;25;53","だろうなと。"
"相馬1","00;02;25;58","00;02;36;15","ね。いいですね。"
"相馬1","00;02;36;20","00;02;44;44","いいな。それでいいですよね。"
"藤井1","00;02;44;49","00;03;00;53","ここのキャスティングがたまたまなんですか。"
"不明","00;03;00;58","00;03;13;34","それで誰が？"
"藤井1","00;03;13;39","00;03;36;58","面白い。"
"相馬1","00;03;37;03","00;03;40;31","ありがとうございます。"
"話者 1","00;03;40;36","00;03;42;42","ってやってる。"
"藤井1","00;03;42;44","00;03;43;02","のに。"
"相馬1","00;03;43;03","00;04;04;01","わかんない。じゃあこれもですけど。確か知らんよねって思います。"
"相馬1","00;04;04;06","00;04;14;48","そうですね。そうですよね。"
"話者 1","00;04;14;53","00;04;27;28","でも。"
"藤井1","00;04;27;33","00;05;09;18","もう。"
"相馬1","00;05;09;23","00;06;04;41","いない。"
"藤井1","00;06;04;46","00;07;00;21","ことかというと、いいんですか？あ、ちなみに今気づいたんですけど、番組のことは事前になんて誰が聞いてる？ラジオでいいです。"
"藤井1","00;07;00;26","00;07;16;43","よう回一回。"
"相馬1","00;07;16;48","00;07;20;02","です。1。"
"相馬1","00;07;20;07","00;07;27;26","回ぐらいの。"
"相馬1","00;07;27;31","00;07;35;12","たぶん。たぶん何かあるじゃないですか。で。"
"話者 1","00;07;35;17","00;07;39;11","と。"
"相馬1","00;07;39;16","00;07;48;05","瞬間的な。あれ寒いですけど、やってくださったらありがたいな。"
"藤井1","00;07;48;10","00;07;49;25","という。"
"相馬1","00;07;49;29","00;07;52;42","感じですよ。"
"相馬1","00;07;52;47","00;07;56;34","ちょっと。"
"相馬1","00;07;56;39","00;08;30;56","そう思うんですけど、どっちでも。"
"藤井1","00;08;31;01","00;08;33;14","いる方がいい人ですね。"
"相馬1","00;08;33;19","00;08;34;20","でも。"
"藤井1","00;08;34;25","00;08;39;10","この。"
"藤井1","00;08;39;15","00;08;43;07","感じで。"
"藤井1","00;08;43;12","00;08;52;22","これが感想。"
"藤井1","00;08;52;27","00;08;58;48","をこうの多くの。"
"藤井1","00;08;58;53","00;09;02;46","公約を後援。"
