色選択,イン点,アウト点,スピーカーネーム,スピーカーAの文字起こし,スピーカーBの文字起こし,AやB以外
,00:00:00:18,00:00:45:06,船曳2,,高齢化率が65歳以上が60%だったかなに近づいているのか越すのかその地域は まさにそれが私の今の課題というか問題ですよ 3週間ほど前にも雪の中祭りが2月1日2日にあって 私の友人が当人祭りの当人になったので出かけていって 彼はもうちょっと体を壊しているので 酸素ボンベを持ちながらの役職の進行です,
,00:00:45:07,00:00:47:22,船曳2,,それでその後全体のマネジメントを引き受ける世帯持ちというのは,
,00:00:48:00,00:01:22:23,船曳2,,重要な仕事を結城君がやっていてというか もう55年前に出稼ぎで我が家にまだ20歳前後で 家にちょっと食事に来たその仲間たちが村の長老になって しかしながらその500年続いたお祭りがどうなるのかって言って そこを長く話し始めたらちょっとあれなんで 要するに危機に瀕しているし ちょっともう祭り自体はどうなんだろうというところまで来ているのです,
,00:01:23:00,00:01:51:17,船曳2,,長い話を短くすればやっぱり見取るというのも一つの方法ですね それを言う人もいます トール君とか言ってもみんなトール君って言っても もう70歳のおじいさんだったりするっていう劇的な変化なんですけれども トル君はトル君のままで立派で,
,00:01:51:19,00:02:12:16,船曳2,,斧をやっているのでこの前は東京の農学堂に来たりしてましたけれども 一つはそれ でも先ほど言ったそれを考えていたら ご存知でしょう風の谷のなんとかという本 安田勝人さん そうそうちょっとなんかね 分厚い本,
,00:02:12:18,00:02:15:17,船曳2,,分厚い本 900ページもあるやつ,
,00:02:15:19,00:03:00:19,船曳2,,あれを書評というか取り上げてた記事の中に 田舎にあって東京にないっていうのかな 地方にあってないものの一つに 一番最初に絶景っていうのをあげてるの いや絶景じゃ飯食えないだろうって もちろんツッコミは来るかもしれないけど その山形の黒川っていうところも行くと 今でも涙こみ上げそうなんだけど 出は散々の綺麗さと それから今年当任をやった彼が 20年ぐらい前に数十年前に植えた桜が もう見事だったの だから5月にもお祭りあるんだけど,
,00:03:00:21,00:03:03:18,伊藤2,なるほど。,,
,00:03:03:20,00:03:34:15,船曳2,,その前に4月にはこの絶景を見に来るからって言って それは本当に絶景で その近くの小学生中学生が 自転車に乗っていた時にあまりにも立派な桜があるので 上がってきておばちゃん見せてくださいって言って 子供が訪ねてきたぐらいの絶景がある あれは東京で大富豪でもなければ あんな桜は植えられない ちょっとね羊物の桜らしくて,
,00:03:34:17,00:03:38:04,船曳2,,枝渡りが10メートル20メートルもあるようなすごいやつ,
,00:03:38:06,00:03:43:03,船曳2,,でもそれだけじゃなくて,
,00:03:43:05,00:04:28:00,船曳2,,確かにその風の谷の書評を書いてた方が田舎にあって東京には絶対ないものに絶景 もちろんこの東京駅のねこれも絶景だと思います そういう絶景っていうのが例えば長野でも山形でもある それが生きる時のそれじゃ飯食えないって言うけれども 心の問題として言えば 実はものすごくそこで潤ってるんですよね 住んでる人は 亡くなってから分かるし 離れると分かるけれども 離れなくたって分かってるな 離れると分かるって言ったのは今 それちょっと東京人のおごりでしたね,
,00:04:28:01,00:05:06:05,船曳2,,住んでる人はそれは確信してます ただ住み続けるのにどうしたらいいかと ある集落で、伊藤さんなんかよくご存知のように、ある20個ぐらいの集落で、小学校に行ってる子が4人しかいないって。 その黒川で小学生の帰り道が心配だとおばあさんが言うわけ。 その時に、3年前かな、本当に身をもって感じました。 その人口縮減社会の怖さっていうのが,
,00:05:06:07,00:05:32:08,船曳2,,その55年前に行ってた時は いっぱい生まれた男の子をどこに向こうに出すか もしくは東京に行って銀座アスターで 支配人まで登りつめるかっていう話をしてたのが 子供がいないっていうすごいことですね 本当に顕著ですよね うちの地元なんかも,
,00:05:32:10,00:05:41:02,伊藤2,うちの地元なんかも本当に10年で1000人とか減らしたら それぐらいのペースで今減っていると思いますし,,
,00:05:41:04,00:06:26:12,伊藤2,学校なんかも数年前は一学年40人いたところが 今年の出生者数とかに見ると17、8人とかそういう感じですよね やっぱりこれは街という空間それ自体が いろんな部分の設計とか計画で 基本的に人口が増えていくこともしくは増えないまでも 維持していくことを前提に多くのものが作られているわけですね 学校の数だったりとか公共施設だったりとか そうすると我々は多分これを今後30年50年というふうに見据えたときには 減っていく中でどういうふうに設計していくか計画していくかということを かなり真剣に考えないといけないが,,
,00:06:26:13,00:06:30:10,伊藤2,それをこれも一つ象徴的な話として,,
,00:06:30:12,00:06:40:16,伊藤2,じゃあこれ話しましょうって地元の人とやっても かなりコンフリクトというか圧力が生まれるわけですよね そもそも話したくないというかネガティブな未来について,,
,00:06:40:18,00:06:44:06,伊藤2,そんな時に私がいくつかの地域とかで,,
,00:06:44:08,00:07:16:11,伊藤2,いわゆるそういう街のまさに将来を考えるワークショップみたいなことをすることがあって そういう時にいろんな方が来るんですけど 例えばAとBという2つ これもうちの地元でいうとAとBという2つの学校がありますと それぞれ卒業生が何百人何千人っているわけですよね やっぱり卒業生はもちろん客観的にこの学校をどうするか 当配合するのか隣町ともくっつくのかとかですね考えたいが それでもやっぱり母校を残ってほしいなという気持ちはあるわけですよね,,
,00:07:16:13,00:07:30:22,伊藤2,強くこれすごくわかると ただここである種のそういう 例えば思いの部分で よそ者とかストレンジャーと言われるような 移住してきた人もそうかもしれないですし,,
