Speaker Name,イン点,アウト点,文字起こし,色選択
山本,00:00:31:14,00:01:20:19,そうですね。 確かな。 何かズームでも随分と代替できるし、授業も大学によっては1回目と最後はオンラインでやりなさいって言われるようになるし。 それは別に全然いいことだと思うんだけど、先生なので別に合理的でいいと思うんですけどね。 やっぱりその、さっき私は緊張感という方したけど、新体制とかね、おんなじ空間で汗かいて一生懸命しゃべってる人が何人もいるっていうような、ああいう身体と結びついた来た空間認知としての公共の感じ方というのは、やっぱりいい意味で対面とオンラインの バランスを取っていく時期に来てるっていうふうには思いますね。 それは仕掛けの作り方の問題ですけどね。,Violet
,-2:00:00:00,-2:00:10:02,--- 20s GAP ---,GAP_1
山本,00:01:46:04,00:01:48:15,確かに名刺交換するまで待ってたもんね。僕も。,Rose
吉田,00:01:48:15,00:03:15:23,商談だったらもちろんしますけど。 で、ヨーロッパって基本、自分にファンクションが与えられている。 それはカフェで店員さんと、それからお客とか契約先と取引先と発注先とっていう、そういう場合は一応上下とかヒエラルキーとか権威っていうのがそこに付随するんだけれども、その場所から一歩出ると、基本的に関係はフラットなんですよ。 それは男女とか年齢関係なくフラットになる。 さらにその傾向って今強まっている印象があるんですけど、日本だと何かな、職業とか社会的なステータスみたいなのがどこまでもついてくるっていうのがありますよね。 これはね、ある人は本当、鈴木寛って民主党の政治家がいましたけれども、彼が熟議の場を社会でつくろうって民主党政権時代にやるんですけど、一番どうにもならないのが丸の内アイヒマンだって言ってましたね。 丸の内のエリートサラリーマンは、熟議しようと思ってもできない。 それを社会的なポジションでポジショントークしかできないから、そんな非民主的な態度ってない。 そういうことですよね。 だから何やってましたか？部長でしたみたいな。 そういうそういうこと存在がね。,Rose
大津留,00:03:16:01,00:03:21:08,というか、自分自身が所属先と切り離して存在していないっていう。 家族もそうですよね。 何さんの。,Rose
吉田,00:03:21:10,00:03:26:06,それですよね。,Rose
山本,00:03:26:08,00:03:28:04,な人格ごと企業に丸抱えっていう。 そうそうそうそうそう。,Rose
吉田,00:03:28:04,00:03:29:10,場合によってはそれが小学校にまで持ち込まれることもあるわけですよね。,Rose
大津留,00:03:29:10,00:03:32:06,さんとか何さんとかいうの、お父さんは内々でとか、特に社宅なんかはそうですよね。,Rose
山本,00:03:32:08,00:03:32:21,そうそうそう。,Rose
大津留,00:03:32:21,00:03:34:16,さんとか何。,Rose
吉田,00:03:34:18,00:03:36:18,ですかね、内々で。,Rose
大津留,00:03:36:20,00:03:39:00,特に社宅なんかね。,Rose
吉田,00:03:39:02,00:03:43:15,逢坂そうすると。 逢坂ちょっとね、やっぱりね、そういう部分とは違うんだなっていう感じはするんですよ。 人との距離がね。 もっと近い感じがしてる。,Rose
不明,00:03:43:15,00:03:49:15,ですよね。 それは日本の。,Rose
山本,00:03:49:17,00:03:51:05,それは日本の興味深いとか不思議なところですよね。本当にね。,Rose
吉田,00:03:51:05,00:04:02:04,よね。 大阪と大阪、ちょっとやっぱりね、そういう部分とは違うんだなという感じはするんですよ。 人との距離が近い感じですね。,Rose
山本,00:04:02:06,00:04:07:06,確かにそれはありますね。あるかもしれない。,Rose
,-2:00:00:00,-2:00:10:02,--- 20s GAP ---,GAP_2
吉田,00:07:00:02,00:09:43:23,トランプタワーはあれほど非ヨーロッパ的な感じのものはないので、そういった意味では初めて。 そのコンプレックスを解消しようとしているのかもしれないですよね。 だから大変なことにむしろなっている感じがしますけど、どうですね。 ヨーロッパで言うとヨーロッパ。 そうですね、ヨーロッパ近代いつから始まるかっていう話はしですけど、それがルネッサンスだとしたら、ルネッサンスは明らかにやっぱり古代ギリシャの文明、文化、考え方というものを再考して、ルネッサンスって再生するっていう意味ですから、そのヒューマニズムっていう考えとか精神というのを再び見出して、それをやっぱり中世的な秩序が崩壊しつつあったんですね。 封建制度というのが崩壊しつつあって、それでルネッサンスが崩壊を加速させたっていうところと、もはやすでにモデルとして立ち行かなくなったので、ルネッサンスが出てきたって、両方の関係がありますけれども、温故知新じゃないんですけども、やっぱりそういった意味で、やっぱり古代ギリシャそれから国によってはローマ帝国ですね、ローマ帝国を参照する国もありますけど、ラテン系はやっぱりローマ帝国を参照するっていうのがありますけれども、そういうことなんだろうというふうには思いますけど、やっぱり民主主義が基本的に発展したから、その後、絶対王政の時代がヨーロッパ には訪れて、で、封建制は崩壊して、今度は絶対王政が出てきた。 今度は絶対王政に対してどういうふうに王政をコントロールするのか、暴政をコントロールするのかっていうことで、議会制民主主義が発達をしてくるわけですね。 ところが、議会制民主主義って誰のものだったかっていうと、貴族とかブルジョワのためだったわけですよ。 がたまにしか招集しない議会をちゃんと常設にして、議会が承認しないと王の決定っていうのは下せないようにどんどんしていくわけですね。 だから、あれは議会制民主主義って、実は民主主義というよりも貴族制の名残なんですよね。 で、その上に基本的に前の議会制民主主義があるので、もちろん議会の門戸というのはどんどん開いていって、いろんな人が議員になっていく。 選挙権の拡大、さっきしましたけどっていうのは確かだったんですけど、議会制民主主義って実は貴族制がもたらしたものなんですね。 だから、そのフォーマットの中で民主主義をやってる限りは大きなものですよね。 こうバージョンアップ民主主義のっていうのは訪れないんじゃないかっていうふうには思います。 だから、そのフォーマットの中で民主主義をやっている限りは、大きなこうバージョンアップ民主主義の訪れないじゃないかっていう風に。,Mango
山本,00:09:44:01,00:10:39:04,今のご指摘は本当によく腑に落ちるところで、政治家にいつも不思議に思うんですけどね。 僕の仲いい人とかで政治家に立候補したいっていう人は、政治学部の先生はいらっしゃるかもしれないけど、いないんですよね。 つまり、どういう人が政治家になってるんだろうって、いつも選挙のたびに思うんですよね。 うん。 それってこんなに私らの代表とか代弁なのかなとかって思ったりする。 だから現代の議会民主主義が貴族制だとまでは言わないけれど、その比喩で見ると随分と見えてくるところもある。 あくまで議会制民主主義っていうのは民主主義の一つの政体のあり方なのであって、それが民主主義の全てではないっていうのは偉い先生がよくおっしゃってることですけど、まさにそれをもう一回再認識させていただける吉田さんの話で腑に落ちましたね。,Mango
大津留,00:10:39:06,00:11:05:21,だけどね、政治家を目指すすための学校で、政経塾とか一生懸命普通の人でも目指すことができるんだっていう、それを作らなければいけなかったということが裏返しとして、そういうのが何かなければ、政治家というのは道がつながる。 どこにがどう繋がってるか分からないようなものだったんだろう。,Mango
山本,00:11:05:21,00:11:06:15,ないような、そうなんですね。 ある意味、地方議会とかはそれがまた見えやすいっていうふうに思うんですけど、衆議院、参議院の国会議員になってくるとね、例えば市民団体が推した人とかもなかなか通らないわけですよね。 ってなってくると、いったい誰が政治家になってね、やろうって。,Mango
大津留,00:11:06:15,00:11:07:13,そうだったんだろうな。,Mango
山本,00:11:07:13,00:11:26:21,を得ないですよね。,Mango
吉田,00:11:26:23,00:12:35:22,僕の教えていた学生がそんな調査をやってて、今の90年代から今までの自民党の参議院、衆議院の議員のプロフィールを全部調べて、それと似たような有権者の割合がどれくらいかっていうと、5ぐらいしかないですか。 つまり男性です。 官僚出身です。 あるいは親戚が政治家ですかっていう。 で、政治学に技術的代表っていう考え方なんですけど、自分と似たような存在が、やっぱり代表が政治家になってると、やっぱり自分たちが代表されている。 で、それが代表制民主主義ってものですけど。 という、ある種感覚を得られるんですけど、やっぱり自分と似た、ある程度似たような存在が政治家やってるんだ。 同じようなキャリアとか、あるいは経験人生だった人が政治家やってるとやっぱりなれるんだと思うけど、そういった、やっぱりこれは社会でもね、人生でもそうだと思うんですけど、モデルってモデルケースがあるかどうかっていうのは、やっぱり大きく変わってきますよね。 その国の民主主義下において。,Mango
不明,00:12:35:22,00:12:43:02,その国の民主主義が。,Mango
,-2:00:00:00,-2:00:10:02,--- 20s GAP ---,GAP_3
吉田,00:13:37:15,00:15:07:06,なんていう面白い政治経済学者がいるんですけど、彼が反動のレトリックっていう本を書いてて、昔から現代に至るまで、どういう言説が反動としてこう流通するかっていうのを類型化してるんですけど、一つはそういう風に改革改革をしたり変えるともっと今よりダメになるっていう考え方と、もう一つやってもどうせそんなことで変わらないよっていうのが古今東西、人類が乗ってきた一つの反応なんですって。 でも確かにそれね、人間神じゃないので、それがどういう結果を本当に生むかっていうのは分からないと思うんですけど、じゃあ人間って動物と違うのは、環境とか機会は与えられている。 でもそういう能動的にやっぱり働きかけて、何とかこうにかより良い環境とか。 条件を自分の手で作り出していく。 もっと平たく言うと、自分の運命は自分で作るってことだと思うんですけど、それで、ある種のどうせそんなことやってもっていうのが、やっぱり人間性の大きな人間の条件を諦めてることになるんじゃないかというふうに思いますよね。 これは別にリベラルとか主義とか、そういう堅苦しい話じゃなくて、やっぱり人間がどういう本来的に能力を持っている動物なのかっていうことを考えると、やっぱりうまくいかないかもしれないけど、とりあえずやってみようっていうところに行き着くんじゃないかななんいうのは、いつも学生にはそういう風に言ってますけど。 なりますね。,Yellow
不明,00:15:07:06,00:15:14:22,に言ってますけれども。 うん、そう思いますね。,Yellow
山本,00:15:18:00,00:16:21:16,うん、そう思いますね。 私も。 ね。 気持ちはなりますけどね。 うん。 そうそう。 良いとか悪いとかじゃなくて、いやむしろそういうもんなんだって賛成するの。 民主主義とかって言っているっていうのは、その不均衡に権力関係が配置されてたり、何かこういびつだったりする時に、何か違うと思いますって言って、こう変える、参加化して変えていく、あるいはその余地を広げていくってそういうことって。 だから先程も言いましたけど、そういうもんっていうか、人間ってそういうことするんだっていうふうに思うんですよね。 だって、その友達が喧嘩してたら何かおかしいぞとかなりませやん？そういう関係なしに別に人間関係が築けないっていうに思うから、何か変なリーダーとあいつやなとかって言うわけだし。 それと一緒で、うん、いやいや、明らかにね、差別と言い得る不均衡がある場合、それは直していくっていうのは、むしろいいとか悪いとかっていうより、直していって当然なんだっていうふうに思いますけどね。,Yellow
吉田,00:16:21:18,00:17:02:02,それってそういうゲームなんだと思うんですよね。 双六でもいいし、あるいはな、ボードゲームでもいいんですけど、結果って分からないよ、運なんてね、結局。 でもそのゲームに参加をして、ゲームの中で勝てるかどうか分からないけれども。 仲間とプレーしながら勝てるようにする。 結果、わかんないけど、そういうそもそもそういうものだと思うんですよって。 他に他に人間として何ができるんですか？ の他に他に人間として何ができるんですか。,Yellow
,-2:00:00:00,-2:00:10:02,--- 20s GAP ---,GAP_4
山本,00:23:47:00,00:25:58:23,と、欲望の資本主義の。 資本主義と民主主義が相性よく見えるっていうのは、まあその通りなんでしょうけどね。 歴史振り返ると。 別に社会主義国だって民主主義だって言うわけだから、それの関係がどうなってるのかっていうのも話題にはなるかなっていうふうに思いますね。 現代において、その資本主義と民主主義、資本主義が民主主義を飲み込み始めているっていうのは、確かに当てはまる部分がいくつかあるっていうふうに思います。 現代において資本主義と民主主義、資本主義が民主主義を飲み込み始めているというのは。 どういうことかっていうと、その私らの投票行為っていうのが、消費者としての行為に限りなく似て見えてしまうっていうところですよね。 それは別に悪いことなのかっていうと全然悪いことではなくて。 だから。 どう言ったらいいんでしょうね。 資本主義に飲み込まれることが飲み込まれてるっていうことが一体どういう点で問題なのかっていうのを洗い出す必要があって。 もちろんどうしたらいいんでしょうかね。 選挙の結果まで賭けの対象にするとかね。 そういうのは倫理的に云々ということは可能かもしれないけど、むしろその資本主義を支えていく自由の理念っていうものは、投票行動であったり、私たちの日々の政治参加にとっても大切なものですから、飲み込まれてるっていうよりは、やっぱり常に緊張関係を持ってて、今の私たちの行動っていうのを縛ってるというか、規定してるというふうに理解しますけどね。 GMどうでしょう。 うん。 まず口火を切ったぐらいのもんですが。,Lavender
吉田,00:25:59:01,00:28:13:02,久々とさっきの貴族制、あるいはブルジョア階級社会の名残が議会制民主主義だというふうに言いましたけど、そもそも論で言っちゃうと、ではなぜ例えばブルジョワは王権を制限したかったのかっていうと、商業の自由、それから私的財産の所有権、これを守るためにそもそも民主化って始まったんですよね。 だからそういった意味では、実は民主化と資本主義って最初からある種緊張関係をはらんでいる部分もあるし、ある種、資本主義が民主化を促進させたっていう部分があると思うんです。 ちょっと前にプーチンに結果的に暗殺された何万の言っていましてね、民主活動家で彼で、僕すごく不思議だったのが、彼は殺されるってことを知ってて、ロシアに帰国するわけですよ。 ドイツで暗殺され、戦争になってね、治療してロシアに戻るんですね。 僕、それがすごく不思議だった。 なんでこの人はそんなことできるんだろうというね。 彼の自伝を読んだんですけど、面白かった。 彼が自由っていうものを最初に知ったのって、ペレストロイカがあって、アメリカから作文広島の話じゃないんですけど、ガムが入ってきた。 で、ソ連製のすごい粗雑なガムに比べてすごくおいしかった。 これが自由な味だっていうふうに言うんですよ。 で、で、それを守りたいと思って、自分は民主化、民主化、民主化の活動家になったって言いんですけど、やっぱり資本主義がやっぱり内在させてる人間を解放する。 先ほど言った属性とか階級からっていう部分と、故に金を持ってる奴の方が偉いっていう、あるいは権力を持っちゃうで、それは民主的な権力ではなくて、政治的な権力じゃなくて、やっぱり経済による権力ですよね。 そういった意味では常に民主主義と資本主義って緊張関係の部分もあるし、一方で共犯してる部分もあるし、それゆえにいつも資本主義を考える時は民主主義の問題を考えなきゃいけないし、民主主義の問題を考える場合は資本主義の問題も考えなきゃいけないという意味では、 こうある種双子みたいなものなんだろうなというふうには歴史を見て。,Lavender
大津留,00:28:13:02,00:28:51:01,そこで一生懸命働いてるんだけれども、でもやっぱり資本主義の中で、いわゆる日本でいうと負け組のような形で、自分で自分のことを支えきれない人がいる時に、社会がそれにどう対応していくのかっていう、そういう隙間が必要ですよね。 だから政治が100%資本主義に重なるのではなくて、そういう社会保障の枠をどこかから絞り出しながら、トータルな政治をやっていかなければいけない。 そうというか、どこまで守られていくのかなっていう。,Lavender
吉田,00:28:51:03,00:30:06:00,立憲主義的民主主義というよりも、これは立憲主義、法の支配ということだと思うんですけど。 つまり一人1票あります。 あるいは表現の自由が保障されています。 報道の自由が保障され、知る権利が保障されてますって、それって属性とか金持ちとか貧乏に関係なく与えられている権利ですよね。 それがやっぱり民主的な社会のある種のベース、土台を結果的に作っていくっていう風になるんですよ。 正直、あまりにも住みすぎると、それは経済力が、資産が、政治権力と癒着を今のトランプ政権みたいにそういうことになってしまうので、そうではなくて、我々にはお金はないかもしれないけど、声を上げることができる、あるいは公共の場で集会をして、反対の声を上げることができる。 それはやっぱり憲法で保障されてるから、そういうことができるわけですよね。 そういった、やっぱり立憲主義が本来的に資本創造とか、そう考えと民主主義と資本主義じゃなくて、立憲主義と資本主義っていうものが対立鋭く対立するのかもしれない。,Lavender
吉田,00:30:30:20,00:31:51:20,先程の新自由主義からの転換みたいな話と関係するんですけども、例えばやっぱりリーマンショックがあって、991%みたいなオキュパイウォールストリート運動もあって、それでやはりガーッとここにきて資本主義を抑制しなきゃいけないっていう方向に逆に振り子が触れたわけです。 それが今の国家資本主義的な、つまり国が前面に出て、それは高橋政権も言ってますけれども、いろんな投資を、これをやっていかなきゃいけない。 アメリカ、アメリカでこのままだ、中国に収奪されるわけにはいかないって言って、国境の壁を高くする。 ヨーロッパはヨーロッパで今アメリカに完全にAIとかそういうので出遅れてるので、EUとして投資をしていこうというふうになった。 日本は日本でこのままだと衰退をしていくので、国が民間じゃなくて企業でなくて、国が主導して、率先していろんな産業セクターに投資をして、国家資本主義の時代に今なってきてるんですよね。 で、それがやっぱりあまりにもその、だから何事もニュートラルじゃないので、良い悪い面と悪い面があるとは思うんですけれども、そういう反資本主義というものに対して国家が今再び強い国家って言うのが顔を覗かしている局面に入ってきてるんじゃないかと思います。,Lavender
,-2:00:00:00,-2:00:10:02,--- 20s GAP ---,GAP_5
山本,00:31:51:22,00:33:22:20,他方で、有権者とか市民の視点から見ると、やっぱりほら、ニーサどんどんやりなさいよとかね。 あなた方は皆さんご自分で資産運用するんですよ。 無年金にならなくて当然ですよとまで言わんばかりの状況で、要は選挙で選ぶにしたって、公共の場所で議論するにしたって、要はそれって結局どういう点が美味しいの？ って。 要はちゃんと僕らが生きてる間に利益ちゃんと返ってくるのって、そういう投資家マインドとまでは言いませんけれども、非常に短期的な利益を、あるいは利益の幻想を与えてくれる人たちに、どうしたって飛びつかざるを得ないような状況っていうのがあるんだろうっていうふうに思いますね。 その辺を、これはだから、制度やシステムというよりは、政治家たちの人格とかのレベル、あるいはメディア表現のレベルですけど、そういったところを非常にうまくつかんだ言葉を今の政治家さんたち、やっぱりプロやなと思いますけど、うまく選んで使っておられるっていうところがあって、それに飛びつくのか、飛びつくっていう表現がいいかわかんないけどね。 でも、そこに期待せざるを得ないところに追い込まれてるっていうふうには思いますね。 それもやっぱり資本主義の一つの結果、現代資本主義の一つの結果なんじゃないかっていうふうに思ってますけどね。 精神的には。,Caribbean
吉田,00:33:22:22,00:33:39:00,政策を見て投票しようってよく言うじゃないですか。 おそわれるじゃないですか。 あれが教えるじゃないですか。 それって実は僕は民主主義的じゃなくて、資本主義的だと思うんですよ。 つまり、メニューがあって、どれが最適か自分にとって選ぼうねっていう考え方ですよね。,Caribbean
山本,00:33:39:05,00:33:40:08,いい消費者になりましょう。,Caribbean
吉田,00:33:40:10,00:34:29:17,そういう感じですよ。 賢い消費者になりましょうと。 実は全く同じロジックで、だからこそそういう言説が流布すると思うんですけど、僕はそれは反対で、やっぱり信じる力と、むしろ、あるいはこれを実現したいんだという思いがあって初めて政策っていうのが出てくるので、そういう。 さっきの教育の話とも関係するんですけど、こういう社会に生きたいんだっていう、自分が自分の力だけでは物事は変えられないので、仲間を見つけてこういう社会を実現していけるんだっていうことを、子供の頃からそういう欲望を持っていいんだよっていうことを教えられてるかどうか。 日本であんまりそういう機会ってないんじゃないかと思うんですね。 そこに例えばアメリカと比べたらすごい違いがあると思うんですよね。 そこところはアメリカと比べたらすごい違いがあると。,Caribbean
大津留,00:34:29:17,00:35:12:11,変なところ。 そういう価値に入り込むと歪んでいる。 偏向教育であるとかそういうことを言われたくないので、教科のレベルより先に行こうとしないで、その子供たちがお互いの価値観を言い合って喧嘩するような状況になってもいいはずなのに、学校で喧嘩をするなんていうことはやっ。 っていうので、こう枠にはめて。 何を怖がってるのか、誰を怖がってるのか、逆に誰がより良い教育って何なのかっていうことを出していくということができているのかっていうのが。,Caribbean
,-2:00:00:00,-2:00:10:02,--- 20s GAP ---,GAP_6
吉田,00:36:19:16,00:37:06:19,批判っていうと、なんとなく学生が引いちゃうところがあるので、僕は相対化っていうんですよね。 正面から見ると黒に見えるかもしれないけど、裏から見たら白かもしれないでしょう。 それを相対化する力ってんでしょう。 で、相対化するというのは、批判的に物事を見るってことでしょう。 批判的にものを見たら裏から見て、上から見ても下から見て見よう、それがある種教養でしょっていうふうに教えますよね。 そうじゃないと、つまり今の瞬間最大風速的に今だけ、ここだけの価値尺度に囚われちゃう。 それに取られると人間不信になる。 不自由になるばかりか、卑屈になってくるでしょう。 今この尺度しかなくて、そこに乗るか剃るかしか選択肢しかないと自分で尺度を作れる。 そうすると、人間って自由になるんだという方がいいじゃんっていうふうに言ってるんですけどね。 言ってるんですけどね。,Gray
,-2:00:00:00,-2:00:10:02,--- 20s GAP ---,GAP_7
山本,00:39:11:23,00:40:32:06,いや、それね、水を差すようであれやけど、その神話やと思ってんのよね。 僕は。 それって確かにそういう例もあったし、それを大事な伝統として抱き続けてる人たちを全然邪魔するつもりはないから、その水をかけるつもりもないないんですけど、別にいろんな地域であるよ、そういう強い精神強い商人たちが金っていうパワーを持ってるわけだから、それで自分たちの自治権を伸ばしていくってことは、いろんな地域であるはずなんだけど、大阪は近代以降、大大阪の時代も力、特にマスメディア持っ てたから、言論の影響力が強かったから、大阪がそれで勝ち残っていったというか、その大阪イコール反骨精神で自由な商人文化っていう言論がいっぱいあったっていうことなんだっていうふうに私は理解してるんですよね。 だからその大阪のみならず、日本のいろんな都市部で、商人たちがフィランソロピー的にメディアを持ったり、クラブをつくったりやっていたっていうのはあるんだっていうふうに思いますね。 だから、そこで大阪らしさを出すなら全然邪魔をしないんだけど、別に出さ出すとこうケンミンショー的になるかなという感じはしますね。 違いますね。 確かに。,Tan
D,00:40:32:06,00:40:33:05,はしますね。,Tan
吉田,00:40:33:07,00:40:49:19,でも商業と資本主義って違いません。 やっぱり。 で、とりわけ東京とか、あるいは他の札幌とか仙台と比べると、大阪って資本主義じゃなくてやっぱ飽きないなって感じがするのはなぜなんでしょう。,Tan
山本,00:40:49:19,00:42:45:07,それはですね、あれですよ、私の先程の話に戻るんですけど、戦後のメディア文化が作ったものだというふうに私は思ってるんですよね。 つまり、その商人の合理性を何と言ったんやろう、人間と人間同士の付き合い、損して得とれみたいな商人の規範みたいなものっていうのが、やっぱりこう、特に私が関心を持って調べたのは、花とか箱とかの、どう言ったらいいんでしょうね。 タイトルが出てこないなと。 どてらい奴とか、そうそうそうそうそうそうそうそう。 あなたもいや、あなたも美千代さんが出てたあれなネタなぞとかっていうので、割と刷り込まれてるところがあるんじゃないかっていうふうに思いますね。 で、それと今、吉田さんがおっしゃられたこととつなげて言うと、そうは言っても、それは確かに僕は神話だ、メディアが作った神話だと思うんだけど、その神話に向けて実際に行動した人たちの蓄積っていうのは確かにあって。 うん。 だから大阪商人ってこういう問題や、ほんなら僕も私もこういうふうに、ある意味社会の中で演じて振る舞おうって思った人たちはたくさんいるから、そういった人たちが事後的に神話をなぞって商いの街を作っていくっていうのは、そこかしこにあるっていうふうに思うんですよね。 それは船場も近いですけど、船場の第1、小さい店でやってる、未だに残ってますけど、そういうところの商人さん達にも感じますもんね。 やっぱり商いしてる人と人の付き合いやってるんやって、ただ単にそのお金のやり取りじゃないっていうね、それはだからそれは確かに伝統と言えば伝統と言えるかなって思いますね。,Tan
吉田,00:42:45:08,00:43:00:06,逆にでもそれが大阪のある種経済的な後進性になっちゃってるわけですよね。 非効率だから。 だから大阪が実は大阪らしさを目指せば目指すほど、東京と差が開くっていう逆説にならないですか？そうする。 東京、なるほどなるほどねと。,Tan
山本,00:43:00:07,00:43:05:22,いや、だから先程の話に戻りますけど、JR大阪駅前が東京化しているのかということなんだと思いますね。 むしろむしろ今誰も船場を中心地と思わないんですよね。 町も。,Tan
吉田,00:43:06:04,00:43:07:05,でも、同じ土俵で勝負すればするほど勝てなく。,Tan
山本,00:43:07:05,00:43:14:09,勝てなくなってなくなる。,Tan
吉田,00:43:14:09,00:43:23:06,それは明らかに東京なんかに勝てるはずないわけじゃないですか。 だったらなんで違う尺度で勝負しようとしないのかなというのが不思議ですね。,Tan
D,00:43:23:06,00:43:25:02,勝負しようとしないのかなと。,Tan
,-2:00:00:00,-2:00:10:02,--- 20s GAP ---,GAP_8
