"Speaker Name","Start Time","End Time","Text"
"D1","00;00;04;04","00;00;10;56","さんの記事読んでコーヒーを。"
"D1","00;00;11;01","00;00;20;02","やめたんですけど。だったような気がするんですけど、やっぱり嗜好品みたいなものにちょっと興味があるわけ。"
"大坪1","00;00;20;02","00;00;28;28","なんですよね。"
"大坪1","00;00;28;33","00;00;36;00","トマトとゴーヤとかってのを考えて。"
"大坪1","00;00;36;05","00;00;56;52","コーヒーの調査もちょっとやってたので、その繋がりで日本で。沖縄行ったことがなかったので。そうなんですか。これだけの頃ですね。コロナで海外行けないの？日本で何かできないかなというときに、沖縄なら後期。"
"しんめい1","00;00;56;52","00;00;58;53","に入ってどっち。"
"大坪1","00;00;58;53","00;01;11;33","かこっちから出た方が多分大丈夫。"
"しんめい1","00;01;11;38","00;01;12;00","はいはい。"
"D1","00;01;12;06","00;01;31;34","なるほど。一方で嗜好品ってともかくコーヒーとかになるのも結構困窮したりと趣味のものだから、価格は結構いい値段じゃないですか。その辺は。"
"大坪1","00;01;31;39","00;02;00;57","どうでも安安いものありますよね。GOOGLE翻訳で嗜好品って英語に変換するとラグジュアリーグッズとかって贅沢になっちゃうんですよね。なんですけど、贅沢品でもいい。タバコだって昔は趣味吸ってお酒も安いものもあるから。私はイメージとしてそんなに高級品っていうイメージじゃないんですが、ただ高級なものもありますよね。"
"大坪1","00;02;01;01","00;02;37;39","ワインとかだって1本いくらとかそういうのもあるし。でも安いのもあるので、いろいろそれぞれの懐具合に合わせて楽しめるといいなって思うんですが。"
"大坪1","00;02;37;44","00;02;44;40","階段出口は出る。"
"大坪1","00;02;44;44","00;02;50;18","持ち合わせが面倒くさいとこですからね。"
"大坪1","00;02;50;23","00;02;54;39","すごい変わってますよね。"
"大坪1","00;02;54;44","00;02;58;08","もう違う別物ですよね。"
"しんめい1","00;02;58;12","00;03;00;52","っていうのが違う。"
"大坪1","00;03;00;56","00;03;02;05","そうです。"
"D1","00;03;02;10","00;03;05;54","全然ピンとこないです。"
"大坪1","00;03;05;59","00;03;09;37","なんせ愚痴なんて何物だ？って感じですしね。"
"しんめい1","00;03;09;42","00;03;14;57","そうですね。ありました。"
"大坪1","00;03;15;02","00;03;29;38","私でも小田急線に住んでいるので。そうなんです。なのでなんとなくは変わって使わせてるなというのは何か気配を感じ。"
"大坪1","00;03;29;43","00;03;43;50","ていればすぐ。"
"D1","00;03;43;55","00;03;44;24","ああ。"
"大坪1","00;03;44;29","00;03;47;28","そうなんですか。"
"大坪1","00;03;47;33","00;03;48;50","どうぞ。"
"しんめい1","00;03;48;55","00;03;50;44","先生も。"
"大坪1","00;03;50;49","00;03;52;02","そうです。"
"しんめい1","00;03;52;07","00;04;01;39","し、ますますつけちゃいます。通り1年です。"
"しんめい1","00;04;01;44","00;04;10;06","ロッカーも何か？あっそうですか。これぐらいの荷物だったらつけながらとかでいいですかね？"
"大坪1","00;04;10;11","00;04;11;50","昨日からいらしてたんです。"
"しんめい1","00;04;11;59","00;04;12;28","今日。"
"大坪1","00;04;12;33","00;04;15;08","今日傘があるので。"
"しんめい1","00;04;15;13","00;04;16;20","今日の夜。"
"大坪1","00;04;16;25","00;04;20;57","ちょっと降りますよね。そうそうそう。"
"しんめい1","00;04;21;02","00;04;28;17","すいません。お待たせしました。とんでもないです。"
"D1","00;04;28;22","00;04;38;37","はいはいはい。"
"大坪1","00;04;38;42","00;04;40;59","ます。これは。"
"しんめい1","00;04;41;04","00;04;45;06","使って。"
"大坪1","00;04;45;11","00;04;50;38","そうですね。今日は雨で。"
"しんめい1","00;04;50;42","00;04;53;57","っていうのが。"
"大坪1","00;04;54;01","00;04;55;19","結構しっとり降りまし。"
"しんめい1","00;04;55;19","00;04;56;26","たと。"
"大坪1","00;04;56;31","00;05;03;36","びしょびしょになる雨です。ちょっと。"
"しんめい1","00;05;03;41","00;05;18;48","少ないですけど。質問する。"
"D1","00;05;18;53","00;05;27;47","現場にお任せします。"
"D1","00;05;27;52","00;05;30;37","分から。"
"D1","00;05;30;42","00;05;39;34","は変わった様子とか。"
"D1","00;05;39;39","00;05;47;57","ありがとう。"
"しんめい1","00;05;48;02","00;05;54;56","なかなか出て。"
"大坪1","00;05;55;01","00;06;03;49","今もう2015年から内戦してるので全然生きてないんですよ。最後に行ったのが2013年なので。"
"しんめい1","00;06;03;54","00;06;05;41","もう。"
"大坪1","00;06;05;45","00;06;15;47","なのでイエメンの有名な話は大体そういう昔の話になっちゃうんだそうなんです。"
"しんめい1","00;06;15;51","00;06;21;31","今のフィールドとしては引き続きイエメンという形になっている。"
"大坪1","00;06;21;35","00;06;24;22","今、最近は韓国とか沖縄で調査をした。"
"しんめい1","00;06;24;22","00;06;31;08","結果、沖縄のコーヒーの中のコーヒー。"
"不明","00;06;31;13","00;06;31;48","ちょっと待って。"
"しんめい1","00;06;31;48","00;06;47;45","ください。"
"D1","00;06;47;50","00;06;49;04","今付けますよ。"
"しんめい1","00;06;49;09","00;06;53;38","ということです。"
"しんめい1","00;06;53;43","00;07;06;46","はいはい。"
"しんめい1","00;07;06;51","00;07;11;28","先生はご出身はどちらです。"
"大坪1","00;07;11;33","00;07;21;23","千葉都民ですよね。両親が千葉出身というわけではなく、たまたま父が東京勤務だったので、マイホームを買った時は千葉だっ。"
"しんめい1","00;07;21;23","00;07;22;10","たと。"
"大坪1","00;07;22;15","00;07;24;28","いうだけの千葉都民です。"
"しんめい1","00;07;24;33","00;07;26;13","房総の方というよりは。"
"大坪1","00;07;26;18","00;07;32;55","もうベッドタウンの一つですね。"
"大坪1","00;07;33;00","00;07;35;03","あそこ良さと大阪出身。"
"しんめい1","00;07;35;03","00;07;47;26","私は大阪で。東京に住んでいた時はよくレンタカーを借りて千葉に。"
"大坪1","00;07;47;31","00;07;51;25","とこですよね。千葉でね。"
"しんめい1","00;07;51;30","00;07;58;56","僕の地元が和歌山と千葉の南の方とか。"
"D1","00;07;59;01","00;07;59;30","館山。"
"しんめい1","00;07;59;30","00;08;05;56","とかじゃないですか。テーマと曲作りとか雰囲気、わりとなんとなく近い感じが。"
"大坪1","00;08;06;01","00;08;08;06","夏休みに泳ぎに行くところです。"
"しんめい1","00;08;08;06","00;08;10;31","かそうですかって。"
"大坪1","00;08;10;36","00;08;13;20","房総の荒波で。"
"しんめい1","00;08;13;25","00;08;21;12","夕日が結構よく見えて、すごい運転しながら見えたりするんで。"
"しんめい1","00;08;21;16","00;08;22;37","ですね、はい。"
"大坪1","00;08;22;42","00;08;25;34","私はお祖母先生って呼ばれちゃうんでしょうか？"
"しんめい1","00;08;25;38","00;08;27;08","3日、3日、30日。"
"大坪1","00;08;27;15","00;08;29;40","後にいいですよね。すいません。"
"しんめい1","00;08;29;45","00;08;33;07","33。"
"しんめい1","00;08;33;12","00;08;35;00","人ついつい。"
"大坪1","00;08;35;05","00;08;42;19","とりあえず先生。"
"しんめい1","00;08;42;24","00;08;47;29","はいはい。でですね。はい、もう回っています。"
"大坪1","00;08;47;32","00;08;47;49","はい、あり。"
"しんめい1","00;08;47;49","00;08;50;04","ます。はい。"
"大坪1","00;08;50;18","00;08;58;55","編集でどうにかしてください。編集で何か清水さんが1回目じゃなくて3回目という話を聞いたので、23回目。"
"しんめい1","00;08;59;00","00;09;10;56","プラットとしては、前に納富先生、東大の納富上先生でギリシャ哲学されている先生と。"
"大坪1","00;09;11;01","00;09;13;05","話を聞いたので、もう私は全てを。"
"しんめい1","00;09;13;05","00;09;14;56","任せます。先生。"
"大坪1","00;09;15;00","00;09;20;53","エスコートしてもらっ。"
"大坪1","00;09;20;58","00;09;21;12","はい。"
"D1","00;09;21;14","00;09;23;13","そこまで。"
