"Speaker Name","Start Time","End Time","Text"
"大坪3","00;00;00;03","00;00;08;44","いいんですよね。吐き出す。"
"D3","00;00;08;49","00;00;11;13","様にちょっと最後見て。"
"しんめい3","00;00;11;18","00;00;16;39","きたところがはいはい、ありがとうござい。"
"D3","00;00;16;39","00;00;20;11","ます。古着のバーンみたいな。"
"大坪3","00;00;20;26","00;00;23;01","すごいあんなとこ撮って大丈夫ですか？"
"D3","00;00;23;06","00;00;27;07","はい。"
"D3","00;00;27;12","00;00;32;33","こちらじゃあね。はい。駅前で撮ります。これとは。"
"大坪3","00;00;32;38","00;00;34;08","あ。"
"しんめい3","00;00;34;13","00;00;34;58","ありがとうございます。"
"大坪3","00;00;34;58","00;00;38;59","どういう画で見られてるのかわかんないんですが、すごい角度で見られてるんじゃないか。"
"しんめい3","00;00;38;59","00;00;41;40","ありがとうございます。"
"しんめい3","00;00;41;44","00;00;44;57","大坪渋谷さんの印象すいません。"
"大坪3","00;00;44;57","00;00;49;56","何か非常に何かエスコートっていうか、お話を引き出してくれてありがとうございました。"
"しんめい3","00;00;50;01","00;00;51;17","すみません、ちょっと。"
"大坪3","00;00;51;22","00;00;52;47","いろいろ。"
"しんめい3","00;00;52;52","00;00;57;07","ございます。皆さんの本を読んで。"
"大坪3","00;00;57;12","00;01;14;22","私ほんと哲学苦手なんですよ。抽象的な思考、本当に苦手だから人類学のものに入ってる人間なので。東洋哲学って高校の倫理以来なんですよ。それを色々思い出しますから。"
"大坪3","00;01;14;27","00;01;17;16","本人はとっても恥ずかしいんですよ。"
"しんめい3","00;01;17;20","00;01;29;07","僕に言わずにね。最後すいません、聞こえてません。聞こえてます？正直電車で自分。"
"しんめい3","00;01;29;11","00;01;37;39","なんかそんなもん。"
"大坪3","00;01;37;44","00;02;03;28"," のかな。でもそういうもんだよなって思ったので、わりとなんか私の発想としては東洋哲学に東洋哲学に近いのかなと思います。ああ、そうだよなと思って。だから夜は読んでた方です。そうだとかっていうよりも、そんなもんだよなって思い出しつつ、高校の時に何か労組とか一生懸命やったなとか、変な人の先生がいたんですよ。"
"大坪3","00;02;03;32","00;02;04;59","般若心経を覚えさせられたり。"
"しんめい3","00;02;04;59","00;02;09;38","したそうなんですよ。癖が強いですね。"
"大坪3","00;02;09;43","00;02;13;52","東大哲学科の先生です。"
"大坪3","00;02;13;56","00;02;19;59","東洋思想久しぶりでした。先生といいんですよね。"
"D3","00;02;20;03","00;02;21;28","うちの候補にも一人いました。"
"しんめい3","00;02;21;33","00;02;22;13","ああ、そうですか。"
"D3","00;02;22;22","00;02;29;11","哲学勉強させて。"
"しんめい3","00;02;29;15","00;02;36;20","僕は数学が好きか、あるいは哲学科に入ってる人は多分今でも結構みんな。"
"しんめい3","00;02;36;25","00;02;40;28","違うあれなんです。"
"D3","00;02;40;33","00;02;45;56","私も北に歩きます。"
"D3","00;02;46;01","00;02;49;13","若者の話を。"
"D3","00;02;49;18","00;02;53;20","してほしいなと。"
"D3","00;02;53;25","00;02;56;05","ね。"
"D3","00;02;56;10","00;02;57;41","下北の話を。"
"D3","00;02;57;46","00;02;59;59","若者見ながら。"
"しんめい3","00;03;00;08","00;03;02;47","の。"
"大坪3","00;03;02;52","00;03;09;30","最近の若者は話が長くてね。"
"大坪3","00;03;09;35","00;03;17;12","月TWINSの足がないから、親の顔が見てみたい。"
"D3","00;03;17;16","00;03;19;25","じゃあお別れします。"
"しんめい3","00;03;19;30","00;03;21;34","ありがとうございました。始めました。ありがとうござい。"
"D3","00;03;21;34","00;03;27;46","ました。じゃあ。"
"D3","00;03;27;51","00;03;31;33","もう慣れっこのスタイルです。"
"しんめい3","00;03;31;38","00;03;32;07","ありがとうござい。"
"D3","00;03;32;07","00;03;32;56","ます。"
"しんめい3","00;03;33;01","00;03;33;33","何かに。"
"D3","00;03;33;35","00;03;40;25","向かいながら最後の話してる雰囲気を写真撮って。"
"大坪3","00;03;40;30","00;03;42;58","こんな格好で傘持ってるし。"
"しんめい3","00;03;43;03","00;03;50;03","ちょっと風置いてる時はいいです。すみません。並べます。"
"D3","00;03;50;07","00;04;00;54","とかって書いてある。"
"しんめい3","00;04;00;59","00;04;06;27","足長いやつは僕もだかYOUTUBEで学んだんですけど、足を長く見せる。"
"大坪3","00;04;06;31","00;04;07;41","やりたくないですよね。"
"しんめい3","00;04;07;41","00;04;08;25","そう。"
"大坪3","00;04;08;30","00;04;13;08","あの写真って時々なんか手が変な人。"
"しんめい3","00;04;13;12","00;04;27;47","で、あとズボンも結局何かね？を上げてガッと上げてて、ズボンと同じ色の靴を履くことで入ってる入ってるよ。ソフト。"
"しんめい3","00;04;27;52","00;04;32;18","とか脚長効果の研究が何かすごいされてて。"
"大坪3","00;04;32;23","00;04;37;46","よくね？だってみんなだって生まれた時から動画があるそうです。"
"しんめい3","00;04;37;50","00;04;40;11","そこに最適化して。"
"大坪3","00;04;40;16","00;04;46;42","やっぱり自分を客観的に見るっていうことをやってるんだなと思って。"
"しんめい3","00;04;46;46","00;05;04;46","動画でもやっぱりもう何センチアップ靴も何か身長を守り効果あるやつってんですか？履いてる履いてるしですね、7センチとか8,000円上がりやすい。まさしく。"
