色選択,イン点,アウト点,スピーカーネーム,スピーカーAの文字起こし,スピーカーBの文字起こし,AやB以外
,00:00:03:09,00:00:08:22,山田2,,だからなんか新たなコミュニケーション障害みたいなのが出てきてるっていうのが今の時代なのかなっていうふうに思ってますけど,
,00:00:09:00,00:00:14:00,吉田2,そうやってなんか人間大事にしてそうでしてないってことですよね 結果的にね,,
,00:00:14:00,00:00:26:12,山田2,,なんかだからすごい抑圧的に 労働問題としてはだから労働者の人間性が抑圧されている合理化一変とみたいな,
,00:00:26:14,00:01:00:07,山田2,,チャップリンが描いたようなそういうところではなくて 感情が大事ですってなって感情労働でケアしましょうみたいな時代もあり でも最近だと本当にもうなんかアンガーマネジメントとか いろんな心理的安全性とかいろんなことがあって なんかもううまくコミュニケーションしなきゃみたいな圧がすごくなってて もう感情邪魔とかもう分かんないみたいな どうしていいか分かんなくなっちゃってるみたいなところが多いですかね 本当に なんか,
,00:01:00:09,00:01:20:09,山田2,,なんか 今の話と 一方でそれこそトランプだったり はい 政治はむしろ感情を向け出しにして ダブルスタンダードとか ファインディングみたいな ぜひ吉田さんに 紐を結んだ後に 紐を結んだ後に,
,00:01:20:11,00:01:24:21,吉田2,な。,,
,00:01:24:23,00:02:09:15,吉田2,うーん やっぱり欧米あるいは途上国もそうですけども 一部のマネージメント層とかでは マネージャークラスだと そういうアンガーマネージメントとかセルフコントロールとか そういうことは言われますけどもっとダイレクトなので これはいつも外国行くと 僕はもっと身軽いになるんですけど つまりもっとみんな人間関係がダイレクトなんですよね 怒ってる人は怒るし悲しい人は悲しいし それを表に出すっていうことを 基本,,
,00:02:09:17,00:02:41:15,吉田2,別に障害なくみんなやっているし 日本の薄い皮膜にみんなが包まれているような感じがして どうしてもダイレクトに相手と繋がれないみたいな感じはあるので それやっぱ政治のところにも表れていて 例えば政治家同士で討論会やりますと みんなお互いに喋らないわけですよ いちいち司会が何々さんに質問ありますか これこれこういうふうに思うんですけどみたいな感じで,,
,00:02:41:17,00:03:12:16,吉田2,これこれこういうふうに思うんですけどみたいな感じで お互い直接話してないんですよ政治家の討論会も なので確かに日本も昔よりは 政治にとりわけネット社会ネット空間では お互いに攻撃的にはなっているけど それがダイレクトに現場に出ているかというと そんな感じはしないんですよね やっぱり海外と日本の社会の仕組みが違うから 政治の在り方も違うんだろうというふうには思いますけどね,,
,00:03:12:18,00:03:16:02,山田2,,なんかその感情的な,
,00:03:16:04,00:03:20:09,吉田2,例えば昔それこそね,,
,00:03:20:11,00:03:37:03,吉田2,委員会とかで可決を阻止するために みんなで体を張ってとか 牛歩戦術とか あるいは 偽装で昔水かけた人いましたけど ああいうのやったら すごく批判されるわけじゃないですか 多分今の時代ね,,
,00:03:37:05,00:03:37:14,山田2,,そうです。,
,00:03:37:16,00:03:50:13,吉田2,でも例えば台湾とか韓国って まさに物理的に 身体的に そういう偽装で 喧嘩をしたり あるいは選挙をしたり してるわけじゃないですか,,
,00:03:50:15,00:03:56:11,吉田2,だからそこはやっぱり日本と外国で 違うのかなっていう気はしてる だからそれはやっぱり文化が違うので,,
,00:03:56:13,00:03:59:03,吉田2,政治の在り方も違うんだろうな という感じはしてるんですね,,
,00:03:59:05,00:04:03:01,吉田2,という感じはしてるんですね,,
,00:04:03:03,00:04:22:23,山田2,,もともとそういう日本人的なメンタリティみたいなのが ある上でさらにそういう感情の管理みたいなのが乗っかってきちゃってるので 本当にどうなるんでしょうねっていう 対抗した方がいいと思うんですけど,
,00:04:23:01,00:04:30:05,吉田2,むしろねもう解放した方がいいと思うんですよね逆に であのこれ小熊英二さんが言ってたんですけど,,
,00:04:30:07,00:05:00:21,吉田2,これでもやると やっぱり子どものね上層教育を考えても 大人がなんか私分ではなくて公的な意味合いで なんか怒ってるっていう姿を見せるのはすごく大事なことだっていう風に言ってたんですけど 本当に大人が真剣に怒っている何かに対して っていうのを子供にするってすごくまさに上層教育で大事だと思うんですよね それで政治が動いたとか,,
,00:05:00:23,00:05:10:05,山田2,,そうですよね。何かそれで政治が動いたりとか社会が動いたりしますもんね。 社会を動かす原動力としての怒りみたいなものがすっかり忘れ去られているというか、,
,00:05:10:07,00:05:11:15,吉田2,そうですよね,,
,00:05:11:17,00:05:15:01,山田2,,もう抑制しないといけないものみたいな感じに怒りがなっているので、,
,00:05:15:03,00:05:15:17,吉田2,を。,,
,00:05:15:19,00:05:47:06,山田2,,そういう社会を動かす原動力として怒りが捉えられなくて、 ただイライラしてるとか、ストレスを抱えてるみたいな文脈で 怒りが解釈されてしまうことがすごく多いんだろうと思っていて で、そのミクロな人間関係の中で 怒りぶつけないようにしましょうっていう話ばっかりになってると思います,
,00:05:47:08,00:06:15:10,吉田2,日本の海外メディアとか日本でデモをやりました デモをやってみんなゴミを拾うってすごく驚くわけですよ デモをやってこんな怒りをぶつけてその後みんなきれいにして帰る こんなお行儀のいい国ってあるのってみんな驚くわけですよね 実際デモってすごく日本の場はおとなしいんじゃないですか ここで止まりますよとか言って はい信号渡りましょうみたいな感じでデモやってて,,
,00:06:15:12,00:06:24:11,吉田2,はい信号渡りましょうみたいな感じでデモやってて デモやってる意味があるの?とも思ったりするんですけど それぐらいやっぱりいろんなものがコントロールされていて,,
,00:06:24:12,00:06:58:20,吉田2,そんな国でダイナミックな政治は生まれないだろう というふうに思いますよね だから多分怒りと政治って 難しくて四分じゃダメなんですよねやっぱり 私がこうだから私はこんなに傷つけられたと それはあなたの問題でしょって言われちゃうんですね そうじゃなくてやっぱり僕はこんなことに怒ってます あなたも怒ってるんですね あそこにも怒ってる人いるよね,,
,00:06:58:22,00:07:17:14,吉田2,そこをつなげていく言葉とかロジックとか理屈っていうのが生まれていって それで公的なものになっていくんですね そうするとそこで初めて理性とか知性っていうのが必要とされていくっていうことになるので 原動力はそこはやっぱり当然だからね感情だと思うんですよね,,
,00:07:17:16,00:07:47:19,山田2,,なるほどです 私の怒りとあなたの怒りは別々であなたの事情ですよねみたいな 個別にコントロールしてそれぞれうまくやりましょうみたいな感じで 今終わっていってしまうことが多いと思うので そういう同じような怒り集合的な怒りというか そういうものをつなげていくやり方とか言葉みたいなのが必要なんだろうなと,
,00:07:47:21,00:08:07:20,吉田2,その感情労働の話とも関係すると思うんですけど 最近当事者性とか当事者研究とかあるじゃないですか あれ大事なことだと思うんだけど 一方で僕はすごい違和感を持っていて 当事者しか語れないんですが,,
,00:08:08:00,00:08:08:08,山田2,,ですよ。,
,00:08:08:08,00:08:34:20,吉田2,当事者だからそれが即正義なんですか っていうところがすごく引っかかるんですよね 当事者が書いたら当事者にしか分からないこと 当事者ならではの問題っていうのはあるんだけれども それがどれぐらい普遍性を持っている問題なのか どういうふうに社会に関わっているのか 当事者じゃない人がなぜそれを理解しなきゃいけないのか,,
,00:08:34:22,00:08:45:13,吉田2,っていう言葉がちょっと足りない気がするんですよ 当事者っていうだけでそれがパワーマーダーになっちゃって,,
,00:08:45:15,00:08:55:05,山田2,,それイルーズもチラッと言ってたのが やっぱ感情 今あなたがとか私が 今こう感じてるって言ったら もうそれで誰も何も言えないみたいなとこがあって,
,00:08:55:05,00:08:59:06,吉田2,そういうことですよね そうですよねそれそれ それが持っているある種暴力性というのがありますよね,,
,00:08:59:08,00:09:18:09,山田2,,そうなんです それ本当にそれをどうするかっていうのは 考えないといけないなと思っていて だからすごい一方で感情を抑えるとかコントロールしてるけど 私が今こう思ってるんですとかこう感じましたということについては もう誰も何も言えないっていうところの 共通の言語が見つからないっていうところの問題性がすごいあると思います,
,00:09:18:11,00:09:18:23,吉田2,です。,,
,00:09:19:01,00:09:25:14,山田2,,心の問題があると思います。,
,00:09:25:16,00:09:45:21,吉田2,ある種感情ではないものが逆に必要になってきますよね 明日から行く あ、渡れない バラ園が,,
,00:09:45:23,00:09:49:07,吉田2,バラ園が ああ、へえ,,
,00:09:49:09,00:10:20:19,山田2,,ここ降りたらいいんですか お客様のお客,
,00:10:20:21,00:10:44:13,山田2,,全然だと思いますけど,
,00:10:44:15,00:10:57:21,D2,,,今の。
,00:10:57:23,00:11:10:14,D2,,,怒りを。
,00:11:10:16,00:11:19:07,D2,,,のの。
,00:11:19:09,00:11:27:08,D2,,,そうですねですね。
,00:11:27:10,00:11:48:15,吉田2,先ほどの話もあったように やっぱり感情は操られやすいものでもあるので そこをうまくフックをかけるなんていう風に言いますけど それを何でも金になるんだよね,,
,00:11:48:17,00:11:55:00,吉田2,これは、ギード・ブールという人はスペクタクルの社会というのを1970年代に書いてますけど、,,
,00:11:55:02,00:11:57:20,吉田2,社会。,,
,00:11:57:22,00:12:58:03,吉田2,もはやどんどん消費資本主義、文化資本主義になっていくので、 そうすると人々の創造力であるとか、あるいはそれこそ喜怒哀楽というものが、 社会が動くようになる、お金よりも人々の感情がある。 そこに当然ながらいろんなメディアを含め、今だとSNSでしょうけれども、 目をつけて人々の想像力をどんどん奪っていく、逆に内発的なものじゃなくて、 それが操作されるものになっていくんだというのが、 カネガスペクタクルの社会って本で書いたことですけど、 その延長線上に今の時代は当然ながらあるのかなというふうに思います。 どの経済がものづくりではなくて製造業ではなくて、 ある種認知本主義とか文化資本主義とかいうふうに言われるようになりましたけど、 そういうところで社会が動くので当然ながらそこにお金が集まって、,,
,00:12:58:05,00:13:11:18,吉田2,人々の感情が操作のそのための対象になるということなんでしょうね。 そういうアルゴリズムでもうできてしまうので。 まさに、例えばね、燃料を投下するって言ったりするじゃないですか。,,
,00:13:11:20,00:13:16:09,吉田2,炎上させるためにね。 まさにそういう言葉って象徴していると思いますけど,,
,00:13:16:11,00:13:20:22,吉田2,象徴してると思いますけどね。,,
,00:13:21:00,00:13:45:22,山田2,,なんかその偉い人に動員されちゃうとかもあるんですけど、 やっぱり人々自らそういうところに飛び込んでいっちゃうとか、 さっきの企業の中で機嫌良くとか しんどくなったら自分で自分の機嫌を取るとか そのための商品とかいっぱいあるので なんて言うんでしょう,
,00:13:46:00,00:14:15:11,山田2,,なんて言うんでしょう イルイズの感情商品エモディティという概念があるんですけど それはなんかこう もはや現代人の感情正規とかが 経済的なものと離れてはありえないんじゃないかみたいなことを言っていて 消費を介してもたらされるいろいろな感情っていうのが世の中にあふれすぎていて 消費を返さない感情正規とかあるんでしょうかみたいなことなんですけど,
,00:14:15:13,00:14:29:17,山田2,,本当にだからなんていうのかな その資本主義の外部に本当の感情とか本物の感情を想定できるのかっていうこと自体を 思わないといけないかもしれないねっていうところまで,
,00:14:29:18,00:14:32:20,山田2,,事態は進んでいるかもしれませんっていう そのパーソナル恋愛とかね,
,00:14:32:22,00:14:42:19,吉田2,今そのパーソナルな恋愛とかね 家庭の中でもそうですもんね だってね,,
,00:14:42:21,00:14:52:09,山田2,,だから本物の感情 偽物の感情っていうのを 区別をどうやってするのかっていう それは無理なの,
,00:14:52:09,00:15:05:01,吉田2,これは無理なんじゃないですかね それもまた感情コントロール感情管理の話になってきますよね そうすると どうなのかな?,,
,00:15:05:03,00:15:09:20,山田2,,なんて言ったらいいんだろう,
,00:15:09:22,00:15:18:18,山田2,,自分の本当の感情を知りたいとか コントロールされない感情っていうか 仕事でめっちゃ感情管理したから 普通の自分に戻りたいとか,
,00:15:18:20,00:15:22:15,山田2,,普通に思うと思うんですけど一般的には,
,00:15:22:17,00:15:35:04,山田2,,でもその時にセラピーを受けるとか 本を読むとかすると思うんですけど それもある種の消費の行動なわけですよねってなっていて,
,00:15:35:06,00:16:00:20,山田2,,自己規定アイデンティティを持つとか 自分という人間がどんな人間かとか考えること自体も 消費と結びついていて 消費する本のあり方とか カウンセリングの考え方とか そういうのってある種 その社会の道徳規範を反映してるじゃないですか 文化的なものとかを そういう文化的なレパートリーが,
,00:16:00:22,00:16:15:10,山田2,,そういう文化的なレパートリーが ある種商品化されていて それを読んでとか それのセミナーを受けて 自分らしく生きる生き方考えましたとかになっている人が あまりにもたくさんいるので,
,00:16:15:12,00:16:29:06,山田2,,すごい資本主義的なものと 私の在り方っていうのがもう分かちがたく結びついてしまっているんじゃないかっていうことを言ってて,
,00:16:29:08,00:16:43:02,山田2,,文化とかも本当も消費と結びついていて それ以外のものと考えられるかっていう感じです 感情ってどうなんでしょう これは農家学とかも関係すると思うんですけど,
,00:16:43:04,00:16:59:05,吉田2,何か刺激があって出てくるものなんですかね それとも自分に向く感情とか 自分だけを見つめて出てくる感情ってあるんですかね,,
,00:16:59:07,00:17:09:10,山田2,,どうなんでしょうね 社会学は社会の中で感情を感じているって まず基本的にそういう感じ方を想定していると思うんですね,
,00:17:09:12,00:17:20:22,山田2,,社会と感情というふうに言ったりしますので 刺激反応図式とかっていうよりは 人との間のやりとりの中で考えるとか,
,00:17:21:00,00:17:23:07,吉田2,関係性の中で出てくるっていうことですよね,,
,00:17:23:08,00:17:36:09,山田2,,あるいは文化規範的なものの 感情規則っていうのがあるんですけど それに基づいて感情表出してるとか お葬式では悲しまないといけないとか 結婚式では喜ばないといけないとか,
,00:17:36:11,00:17:52:15,山田2,,いろんな仲間のうちの感情規則 いろいろあるのに合わせて表出してる みたいな考え方をするので 感情労働とかだと職場とか専門職の倫理に照らして こういうふうに感情表出するしないで決まってくるんですけど,
,00:17:52:15,00:17:53:12,吉田2,しない。,,
,00:17:53:13,00:17:56:05,山田2,,でする。,
,00:17:56:07,00:18:09:03,吉田2,そう考えると、先ほど感情が管理されて辛いみたいな話がありましたけど、 よく日本でバカにされるのが、北朝鮮で例えば狩猟様が死にましたと、,,
,00:18:09:05,00:18:39:13,吉田2,「泣き女」っていうのが出てくると、葬式で。 朝鮮半島の文化でそういうのがあるんですけど 葬式なので悲しいふりをしなきゃいけないので わざと泣いてみせる あれは感情というよりも役割 演じてるわけじゃないですか その感情そのものを なので感情はこうじゃなきゃいけないじゃなくて この瞬間でこの場面ではこういう感情を出すものなんだ っていうファンクションとしての感情,,
,00:18:39:15,00:18:43:22,吉田2,っていう風にみんな捉えると楽になりますかね かもしれません,,
,00:18:44:00,00:18:46:11,山田2,,かもしれません,
,00:18:46:13,00:18:59:19,吉田2,怒るべきところで怒って悲しむべきところで悲しんで そういうふうに社会を作っていくんだっていうふうにみんな捉えたら もしかしたらもう少し逆に逆説的にみんな楽になるかな,,
,00:18:59:21,00:19:13:00,山田2,,なんかその感情規則に従って感情を感じるときに 人は何をしているかって言ったら なんかその感情作業をしている でその感情作業には表層演技と真相演技があるんだって ホクシルドが言っていて,
,00:19:13:02,00:19:19:12,山田2,,それはなんかその北施図の手前にアービン・ゴフマンという社会学者がいるんですけど,
,00:19:19:14,00:19:47:02,山田2,,それは結構なんかドラマトゥルギーというか日常生活自体が役割で演技だというふうに言っているのを踏まえて 行為だけじゃなくて感情も演技ですよねっていう話をしてるんですね だけど真相演技をする場合表層演技はとにかく嫌だなと思ってるけど とりあえず笑っとくみたいなことなんですけど 真相演技の場合は感情自体を作り変えるみたいなことを ケア労働の人はとにかくやってるっていうことがあると思うんですけど,
,00:19:47:04,00:19:47:19,吉田2,で。,,
,00:19:47:21,00:20:12:03,山田2,,役割としてやってるっていう 求められてやってるっていう自覚あるし演技だっていうのは分かってるんだけど でも演技として割り切れないみたいなところで しんどさが発生して燃え尽きとかになっちゃうっていう風な話は結構されてきたので でも自分が演じてるんだっていう風に お伝え的に意識してれば辛くないですよね,
,00:20:12:05,00:20:13:12,吉田2,やってれば辛くないですよね 確かにそうです,,
,00:20:13:14,00:20:24:06,山田2,,確かにそうですね そこででも割り切れないぐらいの 見取りをする看護師さんとかは やっぱり悲しいわけなんですけど,
,00:20:24:08,00:20:26:03,吉田2,やっぱり悲しいわけなんですよね,,
,00:20:26:05,00:20:33:11,山田2,,でも専門職としては泣いてる場合じゃないというか 泣いちゃダメみたいな 専門職として関わるんだったら そんな個人的な中じゃないから,
,00:20:33:13,00:20:34:19,吉田2,泣いてたらプロフェッショナルし,,
,00:20:34:21,00:20:41:13,山田2,,泣いてたらプロフェッショナル資格みたいなのがあったりもするので,
,00:20:41:15,00:20:46:11,吉田2,写真を撮られている,,
,00:20:46:13,00:20:51:12,吉田2,冬ですからね 本当だ,,
,00:20:51:13,00:20:56:03,吉田2,冬ですからね 切り離せたら楽だと思います,,
,00:20:56:05,00:21:14:23,山田2,,なんかそういう切り離せたら楽だと思いますけど 一方で演じられてるとか管理されてる心が溢れすぎている中で 管理されない心の価値が異様に高まるみたいな話もされてて そうなんです,
,00:21:15:01,00:21:21:04,山田2,,さっきのイルズの話でもつながりますけど 私が今こう感じてるんだからって言ったら もう誰も何も言えないみたいなところともつながっていて,
,00:21:21:06,00:21:23:15,吉田2,で、なんかある種もすごい管理してる一方で,,
,00:21:23:17,00:21:45:21,山田2,,ある種ものすごい管理してる一方で 感情ってすごい自然で 誰にも何にも言う権利ないよねみたいなとか 管理されてない心っていうものの 価値がすごい上がるっていうところがあるかなと思います 政治家もね,
,00:21:45:23,00:21:48:17,吉田2,政治家もね 今の主張じゃないですけど,,
,00:21:48:19,00:22:08:19,吉田2,今の主張じゃないですけど 本気で物を言ってる感ね っていう方がやっぱり受けるっていうのはありますよね 本気で怒ってる感ですけどもね 本当は分からないので 人間のコールってスライムみたいなものだと,,
,00:22:08:21,00:22:56:22,吉田2,人間のコールってスライムみたいなものだと いつも思うんですけど これだってあるいはこういう風にしてやろうって グリップすると 必ず何か残余ができるっていうか 違うところにそれが逃げていくみたいな感じが いつもするんですけどね 人間の心理とか心っていうのは そこがやっぱり多分AIと違うところなんですよ AIは自分が自己規定しない でも人間は自分はこうじゃないといけないとか 人間はこうでなきゃいけないという風に 要するにゴールポストをずらすので AIが人間近くなったら多分人間って AIじゃないところをわざと見つけて 俺は人間は置き換えられないという風に,,
,00:22:57:00,00:23:30:01,吉田2,多分自己定義を変えちゃうんだと思うんですよね なので感情もそういうところがあるかもしれないと思います あったかいあったかけだね この中には、水辺が見たことは、どんな感じですか? 水辺に行って、犬と絡まれるというか、 あと15分ぐらいの収録をします,,
,00:23:30:03,00:23:34:03,山田2,,すごいこの建物低いですね なんか落差が 昔からある建物なのかな,
,00:23:34:05,00:23:39:21,山田2,,昔からある建物なのかな 地主さんがやる 地主さんの顔が浮かぶのが大阪っぽいんですよね,
