Filename;Speaker;Start Timestamp;End Timestamp;Transcript
00079_Amic;Speaker 1;00:00;00:08;"もう目の当たりにしました。 高齢化率が65歳以上が60%だった。"
00079_Amic;Speaker 1;00:08;00:11;"近づいているのか、越すのか、その地域は。"
00079_Amic;Speaker 1;00:14;00:22;"で、まさにそれが私の今の課題というか、問題ですよ。"
00079_Amic;Speaker 1;00:23;00:34;"3週間ほど前にも雪の中、祭が1日、2日にあって、私の友人が祭の党人になったので出かけて行って、"
00079_Amic;Speaker 1;00:35;00:44;"彼はちょっと体を壊しているので、酸素ボンベながらの薬食の進行です。"
00079_Amic;Speaker 1;00:45;01:07;"それで、その後、全体のマネージメントを引き受ける世帯餅っていうのが重要な仕事を幸男くんがやっていて、というか、もう55年前に出稼ぎで我が家にまだ20歳前後で、うちにちょっと食事に来た仲間たちが村の長老になって、"
00079_Amic;Speaker 1;01:08;01:20;"しかしながら、その500年続いたお祭りがどうなるのかって、そこを長く話し始めたら、ちょっとあれなんで、要するに危機に瀕しているし、"
00079_Amic;Speaker 1;01:22;01:28;"ちょっともう、祭り自体はどうなんだろうというところまで来ているのです。"
00079_Amic;Speaker 1;01:31;01:39;"長い話を短くすれば、やっぱり見取るっていうのも一つの方法ですね。それを言う人もいます。"
00079_Amic;Speaker 1;01:41;01:48;"トール君とか言ってもみんな、トール君って言ってももう70歳のままにするっていう、技術的な変化なんです。"
00079_Amic;Speaker 1;01:49;01:50;"まさに徹君は徹君のままでですもんね。"
00079_Amic;Speaker 1;01:51;01:53;"徹君は徹君のままで、立派で。"
00079_Amic;Speaker 1;01:54;01:58;"斧をやっているので、この前も東京農学堂に来たりしていました。"
00079_Amic;Speaker 1;02:01;02:08;"一つはそれ。でも先ほど言った、それを考えていたら、ご存知でしょう。"
00079_Amic;Speaker 1;02:08;02:10;"風の谷の何とかって本。"
00079_Amic;Speaker 2;02:10;02:13;"そうですね。あたかかつとさんの本ですかね。"
00079_Amic;Speaker 2;02:13;02:15;"風の谷。分厚い本ですよね。"
00079_Amic;Speaker 2;02:16;02:17;"900ページもあるやつ"
00079_Amic;Speaker 1;02:19;02:22;"あれを書評というか取り上げてた記事の中に"
00079_Amic;Speaker 1;02:23;02:25;"田舎にあって東京にないっていうのかな"
00079_Amic;Speaker 1;02:26;02:28;"地方にあってないのの一つに"
00079_Amic;Speaker 1;02:29;02:31;"一番最初に絶景っていうのをあげて"
00079_Amic;Speaker 1;02:33;02:36;"絶景じゃ飯食えないだろうって"
00079_Amic;Speaker 1;02:36;02:38;"もちろんツッコミは来るかもしれないけど"
00079_Amic;Speaker 1;02:39;02:43;"その山形の黒川っていうところも行くと"
00079_Amic;Speaker 1;02:43;02:48;"今でも涙くなりそうなんだけど、出羽散々の綺麗さと、"
00079_Amic;Speaker 1;02:49;02:53;"それから今年、当任をやった彼が、"
00079_Amic;Speaker 1;02:54;03:00;"20年くらい前に、数十年前に植えた桜が、もう見事だったな。"
00079_Amic;Speaker 1;03:00;03:01;"なるほど。"
